case_type,case_complexity,num_witnesses,num_evidence_docs,lawyer_experience,court_level,previous_adjournments,total_hearings
civil,1,7,15,9,high,4,16
cyber,2,9,10,6,high,4,24
criminal,4,14,31,7,high,4,33
cyber,3,6,14,17,supreme,3,26
cyber,4,3,79,19,supreme,2,30
criminal,1,14,48,5,district,5,20
criminal,5,16,74,13,district,1,35
civil,4,10,63,6,supreme,5,39
cyber,3,17,59,10,supreme,2,34
criminal,2,17,45,15,district,0,18
criminal,1,13,32,20,district,5,19
criminal,2,13,72,9,district,5,26
criminal,4,8,59,5,high,4,36
cyber,4,4,50,14,high,6,34
cyber,1,1,27,13,high,4,14
criminal,3,4,14,4,high,3,21
civil,2,16,51,15,supreme,4,31
civil,4,16,15,4,supreme,2,37
cyber,1,4,44,9,supreme,3,23
criminal,3,19,66,11,high,5,38
civil,4,6,34,14,supreme,6,38
civil,2,13,12,13,district,4,20
criminal,2,20,62,10,high,0,27
civil,2,2,30,4,district,6,18
civil,5,11,58,10,supreme,2,38
cyber,3,8,51,12,district,1,18
cyber,5,20,35,6,high,6,44
civil,4,3,57,15,district,5,25
civil,1,6,51,14,high,5,22
cyber,4,3,72,6,supreme,2,35
civil,1,16,48,10,district,2,15
civil,3,17,37,6,high,4,35
cyber,5,7,65,19,district,3,30
civil,1,6,43,3,high,3,18
civil,1,15,34,15,supreme,3,24
criminal,3,13,79,5,district,6,36
criminal,2,20,16,20,supreme,3,28
criminal,3,12,67,6,supreme,6,42
criminal,4,13,21,3,high,3,31
civil,1,8,25,4,high,4,21
cyber,1,14,45,14,high,4,23
criminal,5,12,35,15,supreme,4,42
criminal,2,6,37,9,district,6,22
civil,3,19,70,4,district,4,35
civil,1,20,18,10,supreme,4,28
civil,2,5,24,7,district,1,12
criminal,1,6,77,12,supreme,5,25
cyber,2,1,6,12,supreme,6,24
criminal,2,1,23,20,district,2,7
cyber,1,3,77,8,high,2,18
civil,3,18,38,3,district,1,27
criminal,2,20,75,20,high,0,24
civil,2,5,20,10,district,3,13
criminal,2,14,71,5,high,0,23
criminal,2,1,43,17,supreme,3,21
criminal,5,5,57,18,high,1,29
criminal,1,11,70,8,district,4,19
criminal,5,7,79,14,district,0,28
civil,3,14,33,17,district,2,20
civil,5,4,15,3,supreme,1,30
criminal,3,20,68,3,supreme,2,39
cyber,5,3,8,11,district,2,21
cyber,4,10,71,7,high,0,29
cyber,2,5,15,9,high,4,18
cyber,5,12,22,5,supreme,0,35
cyber,2,20,29,11,district,2,20
cyber,2,14,28,13,high,0,19
cyber,3,14,70,4,high,4,33
civil,4,9,60,17,district,1,26
civil,3,17,78,18,supreme,2,33
cyber,4,10,58,4,supreme,2,37
civil,3,5,9,20,supreme,5,25
criminal,5,20,35,10,supreme,2,41
civil,5,4,26,8,district,3,27
criminal,4,7,23,5,supreme,6,35
cyber,4,11,20,7,supreme,2,35
cyber,1,5,19,14,high,4,17
cyber,1,8,71,18,supreme,2,23
cyber,4,20,32,7,high,4,38
civil,2,20,72,14,district,6,29
criminal,2,9,44,18,high,3,20
criminal,2,6,61,9,high,4,24
criminal,1,9,70,6,district,5,22
criminal,4,12,68,8,high,1,34
cyber,4,15,52,15,supreme,2,36
civil,3,17,36,11,high,4,29
criminal,3,12,32,5,supreme,5,37
criminal,3,6,41,20,supreme,3,28
criminal,5,7,21,20,supreme,3,36
cyber,5,10,72,5,district,3,36
criminal,2,10,50,3,supreme,5,31
criminal,3,2,36,14,supreme,0,22
criminal,5,4,64,7,high,1,34
cyber,3,10,28,17,district,5,22
criminal,4,17,66,5,district,2,33
civil,5,5,20,18,supreme,4,35
criminal,3,14,73,11,high,0,30
civil,4,11,13,5,district,0,22
criminal,3,17,24,8,supreme,1,30
civil,4,10,22,16,supreme,4,36
cyber,3,20,59,12,high,3,32
criminal,2,12,25,17,district,6,21
criminal,2,4,79,4,district,4,25
cyber,3,1,74,14,supreme,4,33
criminal,1,19,49,9,supreme,6,35
civil,5,6,30,5,district,4,30
criminal,1,17,25,4,high,6,28
cyber,2,4,69,3,high,3,23
cyber,2,19,34,4,high,6,33
cyber,4,1,78,7,high,6,34
civil,3,12,27,11,district,2,23
civil,2,17,28,9,district,5,26
criminal,5,1,25,4,high,4,34
civil,3,1,31,14,high,2,19
criminal,1,7,6,4,district,6,18
cyber,4,8,60,7,high,2,31
cyber,4,3,20,4,high,0,22
civil,4,4,40,7,high,6,35
civil,2,15,36,11,district,1,16
civil,4,4,70,12,high,0,28
civil,5,9,33,5,supreme,5,44
civil,5,19,53,13,supreme,3,43
criminal,1,1,13,16,district,5,8
civil,1,20,25,5,high,4,25
civil,1,17,56,6,district,0,18
civil,2,12,23,18,supreme,1,24
criminal,2,16,31,4,district,5,27
civil,5,5,68,15,supreme,6,41
civil,2,13,19,8,high,6,25
criminal,5,7,64,8,high,2,37
criminal,1,10,48,15,high,0,14
cyber,3,16,5,13,district,6,28
criminal,3,12,61,15,high,6,35
civil,3,14,56,15,supreme,4,36
cyber,5,1,46,8,high,2,28
cyber,1,9,62,12,district,6,19
cyber,3,4,41,20,high,4,23
criminal,4,8,58,9,district,5,32
criminal,3,4,60,6,district,5,28
cyber,1,5,59,17,district,3,14
cyber,1,6,12,11,district,2,8
cyber,5,16,8,9,district,0,25
cyber,2,16,12,16,district,5,19
cyber,2,11,57,16,high,1,19
civil,5,12,78,14,high,2,37
civil,5,16,71,13,district,6,42
criminal,5,19,45,20,high,3,38
civil,5,19,60,4,high,1,41
criminal,3,10,49,14,high,2,27
civil,4,9,72,9,supreme,4,41
cyber,2,8,8,13,supreme,1,20
civil,3,20,75,7,district,3,31
criminal,1,5,50,20,supreme,4,21
criminal,2,17,58,6,high,6,33
civil,4,9,24,4,supreme,1,30
civil,1,9,33,13,district,5,16
criminal,3,7,27,14,district,5,21
criminal,5,14,34,6,supreme,0,36
cyber,1,17,64,12,high,5,30
criminal,5,13,55,14,district,5,34
civil,4,13,29,6,supreme,0,33
criminal,1,18,71,14,supreme,5,33
cyber,3,12,46,14,high,0,23
civil,3,10,10,19,supreme,3,25
criminal,5,7,69,16,high,0,31
civil,2,8,29,19,supreme,0,18
criminal,2,4,52,6,district,4,18
cyber,1,17,73,14,high,0,23
cyber,5,16,32,11,supreme,2,40
cyber,4,5,23,6,supreme,4,34
cyber,2,10,67,6,supreme,0,24
cyber,5,5,37,7,high,3,35
criminal,1,5,27,19,supreme,0,11
criminal,3,9,55,15,district,3,23
cyber,3,20,70,8,high,0,31
criminal,1,3,59,17,high,2,16
criminal,2,2,62,12,district,2,13
criminal,5,13,25,7,district,3,34
cyber,5,17,74,3,supreme,6,54
civil,5,5,6,15,district,2,25
civil,2,19,19,19,high,6,30
criminal,2,14,76,15,supreme,4,35
civil,2,10,77,16,district,2,22
criminal,4,9,67,20,high,1,29
cyber,5,7,10,16,district,2,24
civil,2,7,47,13,high,5,27
cyber,1,20,50,14,high,5,28
civil,5,15,27,14,high,2,34
cyber,1,17,46,5,supreme,2,26
criminal,3,16,64,12,high,0,30
cyber,4,8,7,4,district,0,17
civil,4,7,30,16,high,3,26
cyber,1,19,43,10,supreme,3,29
cyber,2,4,53,3,district,0,12
cyber,4,6,22,3,district,2,23
cyber,4,19,58,17,supreme,6,42
cyber,3,4,56,11,district,3,23
civil,2,6,48,9,district,4,20
criminal,1,5,23,13,high,4,17
cyber,1,17,30,19,high,1,16
cyber,4,16,30,19,supreme,4,37
cyber,4,1,70,11,supreme,2,32
civil,1,12,42,9,supreme,3,24
criminal,3,3,80,16,supreme,0,27
civil,3,5,21,14,supreme,4,27
civil,2,4,40,12,district,6,22
criminal,3,9,22,13,supreme,3,29
cyber,1,4,36,9,supreme,2,19
cyber,5,11,46,9,high,3,34
civil,2,16,62,20,supreme,0,28
criminal,4,10,68,12,supreme,3,39
criminal,5,6,75,15,supreme,1,38
cyber,5,20,47,5,district,3,40
civil,3,2,73,11,district,1,17
civil,5,18,55,8,supreme,0,41
cyber,1,8,7,6,high,5,18
cyber,5,17,30,6,supreme,4,44
criminal,1,3,16,9,district,5,10
civil,4,2,11,14,high,5,28
criminal,2,2,60,12,high,0,16
civil,4,11,60,4,district,2,29
cyber,4,16,15,3,district,0,23
criminal,5,10,73,13,high,2,36
civil,4,12,58,9,district,1,25
cyber,5,17,41,13,district,5,39
civil,5,2,65,12,supreme,4,41
criminal,1,5,72,8,high,6,27
cyber,2,1,47,6,district,3,15
cyber,5,2,80,6,high,6,41
criminal,1,14,36,15,high,3,20
cyber,4,16,28,18,high,5,35
civil,2,10,50,7,supreme,4,32
criminal,1,2,51,13,high,4,18
civil,5,8,34,17,district,2,29
cyber,2,9,21,4,district,3,18
civil,5,3,48,14,supreme,6,38
civil,3,5,66,11,high,6,33
cyber,2,18,50,6,high,3,27
civil,1,12,13,20,supreme,4,21
criminal,4,13,39,13,supreme,3,35
cyber,4,3,36,11,high,5,28
criminal,3,14,12,5,high,5,29
cyber,5,3,63,20,supreme,4,38
cyber,2,12,58,16,high,6,27
cyber,3,3,53,6,district,4,22
civil,3,11,80,10,supreme,0,32
criminal,1,8,50,16,high,0,14
criminal,3,14,47,11,district,0,23
cyber,4,4,66,11,high,3,30
